Symbol,Date,Total_Revenue,Gross_Profit,Operating_Income,Net_Income,EPS,Cost_of_Revenue,R&D_Expenses,SG&A_Expenses,Tax_Provision,Operating_Expenses,Market_Price,Industry,Discount_Rate,Gross_Profit_Margin,Operating_Margin,Net_Profit_Margin,Total_Revenue_YoY_Change,Gross_Profit_YoY_Change,Operating_Income_YoY_Change,Net_Income_YoY_Change,P/E_Ratio,P/S_Ratio,Total_Revenue_Rolling_Mean,Gross_Profit_Rolling_Mean,Lag_1_Total_Revenue,Lag_1_Net_Income,Lag_2_Total_Revenue,Lag_2_Net_Income,Lag_3_Total_Revenue,Lag_3_Net_Income
A,2021-10-31,0.0097496624879459,0.0565859006221096,0.2017174972488602,0.1955663256147908,,,,,0.2261901649630074,,,4,8.0,5.8038830259068135,20.689690283971963,20.058779045590686,,,,,,,0.0097496624879459,0.0565859006221096,,,,,,
A,2022-10-31,0.010565863066538,0.0582622439585118,0.2034926374259812,0.1959253275893017,,,,,0.2288044756999817,,,4,8.0,5.514196388085687,19.25944299528551,18.543239331749014,0.0837157778129467,0.02962475312705748,0.008800129891216146,0.001835704451583542,,,0.01015776277724195,0.0574240722903107,0.0097496624879459,0.1955663256147908,,,,
A,2023-10-31,0.0105427193828351,0.0568945606650027,0.2017371482471309,0.195811099688321,,,,,0.2248568664871506,,,4,8.0,5.3965735593450725,19.13520989428827,18.573111222814735,-0.00219042056073937,-0.02347460723419814,-0.008626794566407026,-0.0005830175321699382,,,0.010286081645773,0.05724756841520803,0.010565863066538,0.1959253275893017,0.0097496624879459,0.1955663256147908,,
A,2024-10-31,0.0100443587270973,0.0572670814064254,0.2026410941675837,0.1962108973417535,,,,,0.2283338997673263,,,4,8.0,5.701417378884765,20.174617382083937,19.534437456163626,-0.04727059856579263,0.006547563371059439,0.0044808104422366934,0.002041751739655595,,,0.010225650916104076,0.05725244666301238,0.0105427193828351,0.195811099688321,0.010565863066538,0.1959253275893017,0.0097496624879459,0.1955663256147908
AAL,2020-12-31,0.0267494696239151,0.0,0.1203296127443274,0.1131998498719015,,,,,0.1551331991320488,,,5,10.0,0.0,4.498392470434176,4.23185399424504,,,,,,,0.0267494696239151,0.0,,,,,,
AAL,2021-12-31,0.0461053037608486,0.0385984705362702,0.1597167636115914,0.1694326136975571,,,,,0.2077592742673394,,,5,10.0,0.8371807013024605,3.4641733289526364,3.6749050516273742,0.7235969314183561,inf,0.32732716385410954,0.4967565229926485,,,0.03642738669238185,0.0192992352681351,0.0267494696239151,0.1131998498719015,,,,
AAL,2022-12-31,0.0755579556412729,0.0865472116822504,0.2046847979877377,0.1867299815603531,,,,,0.2238111421923609,,,5,10.0,1.1454414157676693,2.708977449833626,2.4713477220968296,0.6388126631416908,1.2422445884461597,0.28154861994012226,0.1020899547336993,,,0.04947090967534554,0.04171522740617353,0.0461053037608486,0.1694326136975571,0.0267494696239151,0.1131998498719015,,
AAL,2023-12-31,0.0814472516875602,0.1013043547674672,0.2191282817167112,0.1924005809304678,,,,,0.230085487961099,,,5,10.0,1.2438032305384696,2.6904318706456687,2.362272230725914,0.07794408935900754,0.1705097460493148,0.0705645161290327,0.03036791051297727,,,0.0574649951783992,0.056612509246496946,0.0755579556412729,0.1867299815603531,0.0461053037608486,0.1694326136975571,0.0267494696239151,0.1131998498719015
AAP,2020-12-31,0.0155931664416586,0.0623047006795842,0.1978063394120421,0.1897163965992722,,,,,0.2263991529633212,,,0,8.5,3.995641354351953,12.685450395987822,12.166637052781475,,,,,,,0.0155931664416586,0.0623047006795842,,,,,,
AAP,2021-12-31,0.0169689319189971,0.0646586911749836,0.1982809634229418,0.1905616341117148,,,,,0.227128127369219,,,0,8.5,3.810416087685327,11.684940712206041,11.230031154664294,0.08822874317964136,0.037781908423014876,0.0023994378153424645,0.004455268640949139,,,0.01628104918032785,0.0634816959272839,0.0155931664416586,0.1897163965992722,,,,
AAP,2022-12-31,0.0172107571841851,0.0647027816655934,0.1972845792066237,0.1894828902922602,,,,,0.2259276881650152,,,0,8.5,3.7594384124510536,11.462864596562186,11.00956153552473,0.014251059898311658,0.0006818958102705608,-0.005025112845516877,-0.005660865706169416,,,0.01659095184828027,0.0638887245067204,0.0169689319189971,0.1905616341117148,0.0155931664416586,0.1897163965992722,,
AAP,2023-12-31,0.0174157870781099,0.0625276170912516,0.1936434064350469,0.1859363832182895,,,,,0.222323913100311,,,0,8.5,3.5902837357171915,11.118843240707708,10.676312381654865,0.0119128921366225,-0.033617790740185116,-0.01845644898460741,-0.018716766819951602,,,0.016797160655737674,0.0635484476528532,0.0172107571841851,0.1894828902922602,0.0169689319189971,0.1905616341117148,0.0155931664416586,0.1897163965992722
AAPL,2021-09-30,0.5644235294117647,0.8518059273371685,0.90654640255725,0.9582007473768376,,,,,0.6020496196177878,,,6,9.0,1.5091609101146268,1.6061456606921432,1.6976626548072202,,,,,,,0.5644235294117647,0.8518059273371685,,,,,,
AAPL,2022-09-30,0.60841350048216,0.9473096019881964,0.9752462925116596,1.0,,,,,0.7268306710935661,,,6,9.0,1.5570160774497368,1.6029333532848782,1.6436190176705687,0.0779378760418461,0.11211905386662657,0.07578198949399173,0.04362264665060178,,,0.5864185149469623,0.8995577646626824,0.5644235294117647,0.9582007473768376,,,,
AAPL,2023-09-30,0.5913751205400193,0.9386139035384148,0.9416037834722004,0.9770891467175796,,,,,0.6599304593343964,,,6,9.0,1.587171781392006,1.5922275908603778,1.652232420304294,-0.02800460530319926,-0.009179362725270757,-0.03449642341404435,-0.022910853282420374,,,0.5880707168113147,0.9125764776212599,0.60841350048216,1.0,0.5644235294117647,0.9582007473768376,,
